,同比机构投资增加个数,同比机构投资增加额,同比机构投资弹性,同比机构追加投资比例
口子窖,97,1261062660,199.83%,4.98%
迈克生物,115,794833360,135.42%,4.91%
山东药玻,171,981252380,138.85%,4.85%
金陵体育,24,156736320,-85.43%,4.80%
顺鑫农业,103,1785433660,240.96%,4.01%
泰格医药,485,2034308400,20.10%,3.98%
通策医疗,269,1243331920,179.75%,3.75%
我武生物,126,803562200,106.21%,3.63%
泸州老窖,158,3715981500,230.59%,3.41%
长春高新,685,3580247540,384.18%,3.33%
普利制药,174,567516640,185.43%,3.13%
洋河股份,145,3924146860,89.09%,3.03%
今世缘,92,1050390370,189.90%,2.94%
万孚生物,130,779496500,486.67%,2.92%
乐普医疗,264,1557611200,218.47%,2.28%
凯莱英,220,866757670,8.81%,2.19%
药石科技,57,244820030,195.76%,2.16%
山西汾酒,142,1550377130,399.68%,1.97%
贝达药业,61,530263100,300.98%,1.88%
国药一致,24,316346600,143.45%,1.83%
九洲药业,94,299049840,118.54%,1.83%
爱尔眼科,371,1972099550,425.69%,1.64%
通化东宝,93,328766470,92.80%,1.51%
南微医学,66,317352530,323.95%,1.41%
药明康德,462,2005883410,92.19%,1.30%
健帆生物,208,455561930,351.98%,1.16%
安图生物,129,555951000,800.87%,1.12%
昭衍新药,65,126833280,787.97%,1.09%
恒瑞医药,666,4184420290,1134.13%,1.04%
健康元,23,215826020,460.06%,0.96%
康泰生物,373,648292400,1448.11%,0.88%
华东医药,23,261680430,494.82%,0.86%
五 粮 液,162,3630303130,780.53%,0.81%
迈瑞医疗,464,2318163240,1407.02%,0.73%
丽珠集团,-12,232855200,1510.84%,0.64%
沃森生物,159,306056000,421.96%,0.64%
司太立,47,58384140,1253.83%,0.58%
老百姓,84,126457110,919.36%,0.58%
美年健康,111,242271900,744.27%,0.52%
博腾股份,28,74501020,386.11%,0.51%
欧普康视,13,93206580,1476.05%,0.42%
片仔癀,52,316185540,765.15%,0.42%
复星医药,114,276614450,2862.96%,0.33%
大参林,14,108955740,1882.47%,0.32%
生物股份,22,71955630,1596.49%,0.31%
金域医学,61,75863990,3862.78%,0.29%
卫宁健康,41,103305760,-826.07%,0.28%
贵州茅台,161,3586531180,1408.72%,0.27%
先导智能,19,90638810,-3656.53%,0.27%
华兰生物,139,171045970,3010.43%,0.26%
煌上煌,23,26731480,3072.80%,0.25%
健友股份,51,88696600,1968.39%,0.25%
益丰药房,15,71840400,2980.09%,0.21%
科伦药业,48,62337600,1362.70%,0.20%
广联达,25,91367820,3261.59%,0.19%
智飞生物,115,154702510,7808.54%,0.14%
中炬高新,95,48770150,4541.00%,0.14%
天坛生物,40,50052300,835.42%,0.14%
青岛啤酒,21,74519640,9517.84%,0.12%
华测检测,6,30999800,2887.33%,0.12%
欣旺达,10,26641560,-6832.17%,0.12%
新宝股份,2,17308460,1342.85%,0.11%
山大华特,17,5840180,-280.87%,0.11%
星宇股份,8,26821740,-1163.44%,0.11%
东方财富,20,120709490,-1335.23%,0.11%
隆基股份,16,93043690,729.72%,0.10%
伊利股份,107,170870950,701.09%,0.10%
上海莱士,20,40921600,-1337.21%,0.10%
