,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
0,中国平安,124,498598030.0,601318.SH,1261336657290.0,99.96%
1,招商银行,145,442610410.0,600036.SH,782824007455.04,99.943%
2,贵州茅台,147,419985390.0,600519.SH,1300516458384.0,99.968%
3,恒瑞医药,204,415989120.0,600276.SH,354532786031.51996,99.883%
4,长春高新,122,342919590.0,000661.SZ,93692747135.0,99.634%
5,五 粮 液,109,295488620.0,000858.SZ,421193284622.55005,99.93%
6,格力电器,110,289496280.0,000651.SZ,310231241378.46,99.907%
7,兴业银行,110,257297150.0,601166.SH,319922537565.4,99.92%
8,柳药股份,11,195775440.0,603368.SH,8150450453.86,97.598%
9,中信证券,85,163088430.0,600030.SH,292920744817.14,99.944%
10,美的集团,90,147259830.0,000333.SZ,342636126201.89996,99.957%
11,东方国信,8,144822720.0,300166.SZ,17213318731.26,99.159%
12,火炬电子,8,143923200.0,603678.SH,11343808707.0,98.731%
13,葵花药业,8,139650480.0,002737.SZ,8000800000.0,98.255%
14,泰格医药,79,135228340.0,300347.SZ,50647575003.81999,99.733%
15,完美世界,86,126498230.0,002624.SZ,62036571405.170006,99.796%
16,中国国旅,38,125499139.99999999,601888.SH,147607151126.4,99.915%
17,鸿路钢构,8,120310800.0,002541.SZ,8808951107.460001,98.634%
18,广信股份,8,111540480.0,603599.SH,6872604406.65,98.377%
19,芒果超媒,50,108892930.0,300413.SZ,78122965182.68001,99.861%
20,金城医药,8,108841920.0,300233.SZ,7709715387.179999,98.588%
21,福能股份,8,104794080.0,600483.SH,12864702251.739998,99.185%
22,工商银行,52,102073790.0,,,nan%
23,药明康德,70,101872140.0,603259.SH,152200843627.58002,99.933%
24,海康威视,34,101708160.0,002415.SZ,271752911039.68,99.963%
25,通策医疗,52,99921290.0,600763.SH,30880838400.0,99.676%
26,中国重工,9,98163730.0,601989.SH,95768548360.8,99.897%
27,健帆生物,46,93252100.0,300529.SZ,37805301408.0,99.753%
28,牧原股份,30,92658770.0,002714.SZ,257277791177.4,99.964%
29,农业银行,46,91968180.0,,,nan%
30,立讯精密,40,90488380.0,002475.SZ,204438846426.36,99.956%
31,迈瑞医疗,49,89768540.0,300760.SZ,286903138776.0,99.969%
32,山东药玻,21,87203660.0,600529.SH,18860477579.899998,99.538%
33,万  科Ａ,57,84054780.0,000002.SZ,291595289425.80005,99.971%
34,平安银行,28,82044680.0,000001.SZ,242962095838.96,99.966%
35,宁德时代,34,81764300.0,300750.SZ,255865189242.0,99.968%
36,交通银行,50,80112020.0,,,nan%
37,民生银行,42,77596200.0,600016.SH,245181543611.19998,99.968%
38,分众传媒,50,75961280.0,002027.SZ,63702000415.2,99.881%
39,片仔癀,66,71851670.0,600436.SH,72850553107.5,99.901%
40,金卡智能,8,69712800.0,300349.SZ,6415336300.75,98.913%
